dispnum,ccode1,ccode2,styear,war,fatal,dyad_id,year,sd_w5,shared_us_w5,same_top5,both_imp_w5,ally_defense,cinc_diff,regime_dist,ln_capdist,ln_trade_lag1,py,py2,py3,unga,cwera
2930,2,365,1967,0,0.0,2_365,1967,0.0,0.0,0.0,1.0,0.0,0.0418066599999999,0.608,8.964861739409468,4.574710978503383,1.0,0.01,0.001,4.029772,1
2930,365,732,1967,0,0.0,365_732,1967,0.0,0.0,0.0,1.0,0.0,0.1582086577,0.184,8.795748743589717,0.0,2.0,0.04,0.008,,1
2930,365,740,1967,0,0.0,365_740,1967,0.0,0.0,0.0,1.0,0.0,0.118621145,0.738,8.919854372191667,6.246881697702154,5.0,0.25,0.125,2.5415607,1
2931,2,365,1967,0,0.0,2_365,1967,0.0,0.0,0.0,1.0,0.0,0.0418066599999999,0.608,8.964861739409468,4.574710978503383,1.0,0.01,0.001,4.029772,1
2932,260,265,1967,0,0.0,260_265,1967,,,,0.0,0.0,0.0275173183999999,0.6759999999999999,6.171909343889077,,5.0,0.25,0.125,,1
2933,200,365,1967,0,0.0,200_365,1967,0.0,0.0,0.0,1.0,0.0,0.134037901,0.737,7.824685806143631,6.2023330472995655,2.0,0.04,0.008,3.89557,1
2934,2,365,1967,0,0.0,2_365,1967,0.0,0.0,0.0,1.0,0.0,0.0418066599999999,0.608,8.964861739409468,4.574710978503383,1.0,0.01,0.001,4.029772,1
2935,710,713,1967,0,0.0,710_713,1967,0.0,0.0,0.0,1.0,0.0,0.0994053207,0.01,7.451067453782427,,1.0,0.01,0.001,,1
2936,2,710,1969,0,0.0,2_710,1969,0.0,0.0,0.0,1.0,0.0,0.08976739,0.6199999999999999,9.31898847758312,0.0,1.0,0.01,0.001,,1
2937,365,740,1969,0,0.0,365_740,1969,0.0,0.0,0.0,1.0,0.0,0.118508227,0.738,8.919854372191667,6.466922027036182,1.0,0.01,0.001,2.723052,1
2938,800,811,1969,0,,800_811,1969,0.0,0.0,0.0,1.0,0.0,0.0026131412,0.112,6.2813317304651,0.0,1.0,0.01,0.001,1.9947599,1
2940,40,101,1968,0,0.0,40_101,1968,,,,,,,,,,,,,,1
2942,90,92,1970,0,0.0,90_92,1970,1.0,1.0,1.0,1.0,1.0,0.00017556921,0.011,5.184588601219693,4.282302952179203,25.0,6.25,15.625,0.5586895999999999,1
2944,260,265,1971,0,0.0,260_265,1971,,,,0.0,0.0,0.0255065515999999,0.6869999999999999,6.171909343889077,,4.0,0.16,0.064,,1
