year,ccode1,ccode2,onset,sd_w5,same_top5,ally_ff,regime_dist,ln_capdist,py,py2,py3,dyad_id
2015,2,679,0,0,0,0,0.716,9.345011115294131,70,49.0,343.0,2_679
2015,2,690,0,0,0,0,0.589,9.26166066599924,70,49.0,343.0,2_690
2015,2,692,0,0,0,0,0.756,9.302044056186396,70,49.0,343.0,2_692
2015,2,694,0,0,0,0,0.859,9.314781465094613,70,49.0,343.0,2_694
2015,2,696,0,0,0,0,0.805,9.336646978573443,70,49.0,343.0,2_696
2015,2,698,0,0,0,0,0.728,9.3650080609883,70,49.0,343.0,2_698
2015,2,700,0,0,0,0,0.552,9.31847703058076,1,0.01,0.001,2_700
2015,2,701,0,0,0,0,0.757,9.243156000917805,70,49.0,343.0,2_701
2015,2,702,0,0,0,0,0.716,9.280463271407655,70,49.0,343.0,2_702
2015,2,704,0,0,0,0,0.734,9.25624065015894,70,49.0,343.0,2_704
2015,2,705,0,0,0,0,0.666,9.163374542695438,70,49.0,343.0,2_705
2015,2,710,0,0,0,0,0.8180000000000001,9.31898847758312,1,0.01,0.001,2_710
2015,2,712,0,0,0,0,0.21899999999999997,9.245350309165632,70,49.0,343.0,2_712
2015,2,713,0,0,0,0,0.09399999999999997,9.44523856598756,65,42.25,274.625,2_713
2015,2,731,0,0,0,0,0.8150000000000001,9.309705953873745,1,0.01,0.001,2_731
2015,2,732,0,0,0,1,0.19500000000000006,9.320628725870305,70,49.0,343.0,2_732
2015,2,740,0,0,0,1,0.08300000000000007,9.297022528111906,70,49.0,343.0,2_740
2015,2,750,0,0,0,0,0.357,9.396213946213676,70,49.0,343.0,2_750
2015,2,770,0,0,0,1,0.459,9.3391820349893,1,0.01,0.001,2_770
2015,2,771,0,0,0,0,0.625,9.467537463415244,70,49.0,343.0,2_771
2015,2,775,0,0,0,0,0.53,9.507239833477572,70,49.0,343.0,2_775
2015,2,780,0,0,0,0,0.35,9.574302698325482,70,49.0,343.0,2_780
2015,2,781,0,0,0,0,0.52,9.571665487090145,70,49.0,343.0,2_781
2015,2,790,0,0,0,0,0.257,9.424443178638244,70,49.0,343.0,2_790
2015,2,800,0,0,0,0,0.74,9.558162242854177,70,49.0,343.0,2_800
2015,2,811,0,0,0,0,0.609,9.575108477752243,40,16.0,64.0,2_811
2015,2,812,0,0,0,0,0.81,9.524654638228634,70,49.0,343.0,2_812
2015,2,816,0,0,0,0,0.752,9.499016949743577,42,17.64,74.088,2_816
2015,2,820,0,0,0,0,0.575,9.638219074921247,70,49.0,343.0,2_820
2015,2,830,0,0,0,0,0.48400000000000004,9.65161010864882,70,49.0,343.0,2_830
